Title,Author,URL
怎样缩句,"
                臧老师的秒懂学堂
              ",//www.bilibili.com/video/BV1Ad4y1c73h
渐变别踩坑！5个日本品牌设计中的颜色渐变技巧,"
                稻盛学长
              ",//www.bilibili.com/video/BV1bG411F732
【禁毒科普】新型毒品：违禁催情药 “喵喵”,"
                底层原理
              ",//www.bilibili.com/video/BV1t14y1W7F1
挑战30背单词,"
                考研小助手_
              ",//www.bilibili.com/video/BV1iW4y1E7RT
没钱的读书 有钱的习武 总感觉哪里不太对的样子,"
                一只玄九尘
              ",//www.bilibili.com/video/BV1pG411c7p3
【医案寻踪】如何降低近视度数？I 近视，不过就是一门生意,"
                兔叭咯
              ",//www.bilibili.com/video/BV1xd4y1k7W8
114岁老人细胞返老还童，全球富豪坐不住了！他们为永生有多疯狂,"
                看看讲讲科普
              ",//www.bilibili.com/video/BV1Hd4y1k7Ak
网络热门“智熄”视频鉴定㉕,"
                三无公社
              ",//www.bilibili.com/video/BV12G4y1x73u
一铲下去，中国历史提前约1000年！【福豆姐姐】,"
                福豆姐姐
              ",//www.bilibili.com/video/BV1Md4y1c7fR
【考研肖八】抬也要把你抬上岸，核心考点带背，保姆级带背,"
                世界记忆大师Shen
              ",//www.bilibili.com/video/BV1Qv4y1m7vA
反向自行车实验证明：大脑神经的可塑性,"
                YouTube精选字幕
              ",//www.bilibili.com/video/BV1j84y117fR
原来这样的场景，不止出现在电影里,"
                莉莉东
              ",//www.bilibili.com/video/BV1hG4y1o7ex
什么是中国安能？,"
                中国安能-水电铁军
              ",//www.bilibili.com/video/BV1CP411c7ve
【于老师说历史】安史之乱之后，为什么唐朝还能延续150年？（一）,"
                于赓哲老师
              ",//www.bilibili.com/video/BV1jM411C7qV
4种迹象证明，你被负面认知牢笼困住了！,"
                T君T酱
              ",//www.bilibili.com/video/BV1F24y1m7Nr
2022双11战报来了！各平台成交额全部揭晓！,"
                东谷探长
              ",//www.bilibili.com/video/BV1uD4y1s7u4
震惊！性感出题人在线送分！（判断推理秒杀技巧分享）,"
                陈怀安_Aaa
              ",//www.bilibili.com/video/BV1fg411q76c
美国跨性别网红袭警，到底该关男监还是女监愁坏网友！,"
                李三金Alex
              ",//www.bilibili.com/video/BV1xP411g7in
中国现在，非常缺铁！【地球知识局】,"
                地球知识局
              ",//www.bilibili.com/video/BV1g84y117dU
程序员一天就写7行代码，不开除留着干嘛？,"
                PM圈子-崔经理
              ",//www.bilibili.com/video/BV1FY411o7SC
美国SLS登月火箭终于发射升空！我的大型翻车现场？,"
                房叔叨叨叨
              ",//www.bilibili.com/video/BV17e4y1s7Aq
【JUMP】百岁老人肠道菌群，做酸奶厉害吗？,"
                暴躁的仙人JUMP
              ",//www.bilibili.com/video/BV1v14y1W7qr
欧洲强盗是怎么在一百年时间内，“文明地”消灭90%印第安青壮年的？【西方殖民简史·傅正】,"
                傅正_
              ",//www.bilibili.com/video/BV1r8411j7yP
口译笔记：你准备好了吗？,"
                同传姐妹花
              ",//www.bilibili.com/video/BV1ie4y1171K
面对自己丈夫正和纪子妃聊天，西班牙王后一个闪现上前隔开两人！（1）,"
                地宇搜索队
              ",//www.bilibili.com/video/BV1sv4y1m7ug
吸螺的中文还挺好，该说不说的~,"
                外语学习丶Go
              ",//www.bilibili.com/video/BV1yY411Z7eA
汉鼎螺纹钢伸出去体验一下，对面大爷都惊呆了。,"
                阿哲的鱼米之家
              ",//www.bilibili.com/video/BV1824y1279J
现代化复合弓的威力有多大？防爆盾都被轻易射穿,"
                环球军科
              ",//www.bilibili.com/video/BV1RR4y1Z7ru
《高等数学》同济版 全程教学视频（宋浩老师）,"
                宋浩老师官方
              ",//www.bilibili.com/video/BV1Eb411u7Fw
我们嗑的西瓜子，为什么和吃的西瓜里的不同？,"
                正经的知识
              ",//www.bilibili.com/video/BV13P411g7yR
30分钟彻底说清为何不能赌球！离世界杯开幕还有3天！现在看这视频还来得及！,"
                坚果熊说博弈
              ",//www.bilibili.com/video/BV1Sd4y1b7yg
混知漫画｜英国历史上几位大名鼎鼎的女人到底啥关系？,"
                混知
              ",//www.bilibili.com/video/BV19D4y1W7tr
她主动拔光自己的牙齿，竟挽救了亿万同胞,"
                戏品故事
              ",//www.bilibili.com/video/BV18e4y1W7ki
湖南一年吃辣330万吨，是最强吃辣省份吗？,"
                赛雷三分钟
              ",//www.bilibili.com/video/BV1PM411C71o
【球村】打火机压电电子，凭什么可以击穿空气？因为它是个麦克风！,"
                球村冷知识
              ",//www.bilibili.com/video/BV1rY411Z7Px
辩题：美颜技术对审美是好事还是坏事# 美颜相机 #新国辩＃辩论赛＃,"
                谈哲学人生
              ",//www.bilibili.com/video/BV1h14y1W7Eo
我的车刹车失灵撞死了人，我要坐牢吗？,"
                学法联盟
              ",//www.bilibili.com/video/BV1UY411Z7pf
被遗忘了的疯狂红茶菌疗法，换了个洋名字，却摇身一变引领新潮流,"
                人物微纪实
              ",//www.bilibili.com/video/BV1je4y1s7s9
雷军:我一直怀疑是市场部干的,"
                读书看世界m
              ",//www.bilibili.com/video/BV1V24y1m7HV
让伤口结痂？这种愈合方式已经out了！！不留疤的方法看这里！,"
                皮肤科大乔医生
              ",//www.bilibili.com/video/BV1oY411d7B6
美国小媳妇拼单砍一刀，欧洲老爷们沉迷短视频，中东土豪网游氪金：我们的互联网出海有多卷？【商业B面&牛顿】,"
                牛顿顿顿
              ",//www.bilibili.com/video/BV1pg411q74C
雷军：谁，是投资界的神？,"
                无处安放的小A
              ",//www.bilibili.com/video/BV1AW4y1x7UF
一个挂海报的新方法，看起来好实用。下次试试！,"
                娱乐日爆社v
              ",//www.bilibili.com/video/BV1RW4y147GU
为什么世界最大化工厂，不顾他们总理反对也要来中国建厂？【差评君】,"
                差评君
              ",//www.bilibili.com/video/BV1Dd4y1b7pT
小作文万能模板，极限速成，直接背！保7争9分！| 考研英语,"
                学长小谭
              ",//www.bilibili.com/video/BV1bv4y1m7MD
女子用声音怼骗子，骗子：吓死我了！,"
                观资讯
              ",//www.bilibili.com/video/BV12G4y1o7Es
考研政治徐涛大讲座最后的干货分享，押题必考必备！,"
                小于考研上岸了
              ",//www.bilibili.com/video/BV1Ad4y187og
和大爷一起娱乐一下，你大爷永远是你大爷！,"
                Hannahtalk
              ",//www.bilibili.com/video/BV1s14y1H7ik
学不动了怎么办！如何把自己从厌学情绪中救出来，停止摆烂！ ft. 我的厌学故事和自救 把专注力重新聚起来,"
                彭酱酱LINYA
              ",//www.bilibili.com/video/BV14e4y1s7Pq
遗产之旅：金日磾 从匈奴俘虏到托孤大臣,"
                刘国杨的发现之旅
              ",//www.bilibili.com/video/BV1mK411o712
40天做一款游戏？ | 米哈游 2022 Mini Project 实录,"
                米哈游miHoYo
              ",//www.bilibili.com/video/BV12P411g7mQ
我，姜白石，22岁写《扬州慢》成宋词巅峰，南宋词宗，江湖清客,"
                东兴苟十三
              ",//www.bilibili.com/video/BV18D4y147Pe
女子酱牛肉被偷，报警称牛肉里有老鼠药，最终被处以行政拘留！,"
                炎立消丈嚷县
              ",//www.bilibili.com/video/BV1zK411o7XS
为什么垃圾食品要被叫垃圾？,"
                不正经老丝
              ",//www.bilibili.com/video/BV14v4y1D7Uj
埃及的房子为什么不封顶？,"
                地球百科君
              ",//www.bilibili.com/video/BV11g411q7pf
奇葩！法国竟然不允许做亲子鉴定？,"
                大明白李淑芬
              ",//www.bilibili.com/video/BV16P411c7qg
蔬菜保鲜小技巧,"
                思维社
              ",//www.bilibili.com/video/BV16M411k7vT
听说迪拜王储又要拿钱搞事情了……网友：是中国接单我就没意见了！,"
                影视日历
              ",//www.bilibili.com/video/BV1VM411C7XQ
25岁没人告诉你，趁早知道的8个人生真相（职场篇）| 关于职业规划、人际关系与自我管理,"
                姜Dora在此
              ",//www.bilibili.com/video/BV1RW4y147CY
中国贵族是怎么消失的？为什么没有像欧洲世袭千年,"
                杨叔洞察
              ",//www.bilibili.com/video/BV1bd4y1b7Rg
不要声张！偷偷藏好这份大一高数必考复习题试卷！,"
                大学全知道
              ",//www.bilibili.com/video/BV1G24y1m7fU
中国正在为世界守护着地球的“活化石”，她懂我们的星球，更懂我们,"
                一方见地
              ",//www.bilibili.com/video/BV1fM411k7uJ
